id,name,type,nutrition,value,unit,url,value_level
125,Grilled Oysters with Ponzu Sauce,appetizer,Calcium,12,mg,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600-400x400.jpg,-2.8134107167600364
126,Gyutan (BBQ Beef Tongue),appetizer,Calories,150,kcal,https://www.justonecookbook.com/wp-content/uploads/2012/07/Gyutan-BBQ-Beef-Tongue-400x400.jpg,-0.9808292530117262
127,Gyutan (BBQ Beef Tongue),appetizer,Protein,9,g,https://www.justonecookbook.com/wp-content/uploads/2012/07/Gyutan-BBQ-Beef-Tongue-400x400.jpg,-0.10536051565782628
128,Gyutan (BBQ Beef Tongue),appetizer,Sodium,291,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Gyutan-BBQ-Beef-Tongue-400x400.jpg,-0.31814127993648944
129,Gyutan (BBQ Beef Tongue),appetizer,Potassium,180,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Gyutan-BBQ-Beef-Tongue-400x400.jpg,-1.3581234841531944
130,Gyutan (BBQ Beef Tongue),appetizer,Calcium,15,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Gyutan-BBQ-Beef-Tongue-400x400.jpg,-2.5902671654458267
131,Ham Katsu,appetizer,Calories,204,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/09/Ham-Katsu-8569-I-500x500.jpg,-0.6733445532637656
132,Ham Katsu,appetizer,Protein,8,g,https://www.justonecookbook.com/wp-content/uploads/2019/09/Ham-Katsu-8569-I-500x500.jpg,-0.2231435513142097
133,Ham Katsu,appetizer,Sodium,378,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Ham-Katsu-8569-I-500x500.jpg,-0.05657035148839435
134,Ham Katsu,appetizer,Potassium,106,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Ham-Katsu-8569-I-500x500.jpg,-1.8876412409313374
135,Ham Katsu,appetizer,Calcium,36,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Ham-Katsu-8569-I-500x500.jpg,-1.7147984280919266
136,Instant Pot Chawanmushi,appetizer,Calories,124,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/01/Instant-Pot-Chawanmushi-I-500x500.jpg,-1.171182981502945
137,Instant Pot Chawanmushi,appetizer,Protein,11,g,https://www.justonecookbook.com/wp-content/uploads/2019/01/Instant-Pot-Chawanmushi-I-500x500.jpg,0.09531017980432493
